36,30,30
// ====================
//     Left arch
// ====================
// Left Pillar
0-1,0-12,0-5,limestone,t
// Right Pillar
10-11,0-12,0-5,limestone,t
// Arch
2,6-12,1,limestone,t
3,8-12,1,limestone,t
4,10-12,1,limestone,t
5-6,11-12,1,limestone,t
7,10-12,1,limestone,t
8,8-12,1,limestone,t
9,6-12,1,limestone,t
// Second layer of arch
2,5-12,2,limestone,t
3,7-12,2,limestone,t
4,9-12,2,limestone,t
5-6,10-12,2,limestone,t
7,9-12,2,limestone,t
8,7-12,2,limestone,t
9,5-12,2,limestone,t
// Third layer
2,0-12,3,limestone,t
3,5-12,3,limestone,t
4,8-12,3,limestone,t
5-6,9-12,3,limestone,t
7,8-12,3,limestone,t
8,5-12,3,limestone,t
9,0-12,3,limestone,t
// Fourth layer
2,0-12,4,limestone,t
3,3-12,4,limestone,t
4,6-12,4,limestone,t
5-6,7-12,4,limestone,t
7,6-12,4,limestone,t
8,3-12,4,limestone,t
9,0-12,4,limestone,t
// Fifth Layer
2,0-12,5,limestone,t
3,3-12,5,limestone,t
4,3-12,5,limestone,t
5-6,3-12,5,limestone,t
7,3-12,5,limestone,t
8,3-12,5,limestone,t
9,3-12,5,limestone,t
5-6,0-2,5,limestone,t
// ====================
//     Center arch
// ====================
// Left Pillar is shared with Right Pillar of Left arch
// Right Pillar
20-21,0-12,0-5,limestone,t
// Arch
12,6-12,1,limestone,t
13,8-12,1,limestone,t
14,10-12,1,limestone,t
15-16,11-12,1,limestone,t
17,10-12,1,limestone,t
18,8-12,1,limestone,t
19,6-12,1,limestone,t
// Second layer of arch
12,5-12,2,limestone,t
13,7-12,2,limestone,t
14,9-12,2,limestone,t
15-16,10-12,2,limestone,t
17,9-12,2,limestone,t
18,7-12,2,limestone,t
19,5-12,2,limestone,t
// Third layer
12,0-12,3,limestone,t
13,5-12,3,limestone,t
14,8-12,3,limestone,t
15-16,9-12,3,limestone,t
17,8-12,3,limestone,t
18,5-12,3,limestone,t
19,0-12,3,limestone,t
// Fourth layer
12,0-12,4,limestone,t
13,3-12,4,limestone,t
14,6-12,4,limestone,t
15-16,7-12,4,limestone,t
17,6-12,4,limestone,t
18,3-12,4,limestone,t
19,0-12,4,limestone,t
// Fifth Layer
12,0-12,5,limestone,t
13,3-12,5,limestone,t
14,3-12,5,limestone,t
15-16,3-12,5,limestone,t
17,3-12,5,limestone,t
18,3-12,5,limestone,t
19,3-12,5,limestone,t
15-16,0-2,5,limestone,t
// ====================
//     Right arch
// ====================
// Left Pillar is shared with Right Pillar of Center arch
// Right Pillar
30-31,0-12,0-5,limestone,t
// Arch
22,6-12,1,limestone,t
23,8-12,1,limestone,t
24,10-12,1,limestone,t
25-26,11-12,1,limestone,t
27,10-12,1,limestone,t
28,8-12,1,limestone,t
29,6-12,1,limestone,t
// Second layer of arch
22,5-12,2,limestone,t
23,7-12,2,limestone,t
24,9-12,2,limestone,t
25-26,10-12,2,limestone,t
27,9-12,2,limestone,t
28,7-12,2,limestone,t
29,5-12,2,limestone,t
// Third layer
22,0-12,3,limestone,t
23,5-12,3,limestone,t
24,8-12,3,limestone,t
25-26,9-12,3,limestone,t
27,8-12,3,limestone,t
28,5-12,3,limestone,t
29,0-12,3,limestone,t
// Fourth layer
22,0-12,4,limestone,t
23,3-12,4,limestone,t
24,6-12,4,limestone,t
25-26,7-12,4,limestone,t
27,6-12,4,limestone,t
28,3-12,4,limestone,t
29,0-12,4,limestone,t
// Fifth Layer
22,0-12,5,limestone,t
23,3-12,5,limestone,t
24,3-12,5,limestone,t
25-26,3-12,5,limestone,t
27,3-12,5,limestone,t
28,3-12,5,limestone,t
29,3-12,5,limestone,t
25-26,0-2,5,limestone,t
